Timestamp,Table Number,Innovation Score,Functionality Score,Practicality Score,Presentation Score,Q & A Score,Category Fit Score,Written Feedback (3 Sentences Max Please),Email Address
,1,1,7,10,5,7,30,,robert.miller@judicialsystem.com
,1,1,9,9,4,10,33,,emily.wilson@judicialsystem.com
,1,1,8,9,5,8,31,,michael.rodriguez@judicialsystem.com
,1,1,8,9,3,8,29,,william.jones@judicialsystem.com
,1,1,8,9,4,10,32,,william.williams@judicialsystem.com
,1,1,7,8,4,9,29,,sarah.johnson@judicialsystem.com
,1,1,7,9,5,10,32,,michael.smith@judicialsystem.com
,1,1,8,6,5,3,23,,james.garcia@judicialsystem.com
,2,2,5,6,3,6,22,,michael.rodriguez@judicialsystem.com
,2,2,6,9,4,8,29,,william.williams@judicialsystem.com
,2,2,3,9,5,10,29,,sarah.johnson@judicialsystem.com
,2,2,0,3,2,3,10,,robert.miller@judicialsystem.com
,2,2,6,5,3,6,22,,james.garcia@judicialsystem.com
,2,2,4,6,5,6,23,,emily.wilson@judicialsystem.com
,2,2,4,9,3,8,26,,william.jones@judicialsystem.com
,2,2,5,8,5,7,27,,michael.smith@judicialsystem.com
,3,3,4,3,3,3,16,,michael.rodriguez@judicialsystem.com
,3,3,3,5,3,4,18,,james.garcia@judicialsystem.com
,3,3,10,10,5,8,36,,emily.wilson@judicialsystem.com
,3,3,3,9,3,10,28,,sarah.johnson@judicialsystem.com
,3,3,5,8,3,9,28,,william.williams@judicialsystem.com
,3,3,5,8,2,4,22,,william.jones@judicialsystem.com
,3,3,7,9,3,10,32,,michael.smith@judicialsystem.com
,3,3,0,9,5,8,25,,robert.miller@judicialsystem.com
